GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Clearfolio Viewer,com.clearfolio.viewer.config,ConversionProperties,0,137,0,8,0,45,0,21,0,17
Clearfolio Viewer,com.clearfolio.viewer.config,ConversionExecutorConfig,0,32,0,0,0,8,0,2,0,2
Clearfolio Viewer,com.clearfolio.viewer.service,DefaultConversionWorker,0,286,0,24,0,85,0,27,0,15
Clearfolio Viewer,com.clearfolio.viewer.service,DefaultDocumentValidationService,0,87,0,18,0,21,0,12,0,3
Clearfolio Viewer,com.clearfolio.viewer.service,DefaultDocumentConversionService,0,141,0,6,0,32,0,7,0,4
Clearfolio Viewer,com.clearfolio.viewer.model,ConversionJobStatus,0,27,0,0,0,5,0,1,0,1
Clearfolio Viewer,com.clearfolio.viewer.model,ConversionJob,0,268,0,22,0,77,0,36,0,25
Clearfolio Viewer,com.clearfolio.viewer.api,ViewerBootstrapResponse,0,48,0,0,0,9,0,2,0,2
Clearfolio Viewer,com.clearfolio.viewer.api,SubmitConversionResponse,0,21,0,0,0,2,0,2,0,2
Clearfolio Viewer,com.clearfolio.viewer.api,ApiErrorResponse,0,27,0,2,0,5,0,3,0,2
Clearfolio Viewer,com.clearfolio.viewer.api,ConversionJobStatusResponse,0,68,0,0,0,14,0,2,0,2
Clearfolio Viewer,com.clearfolio.viewer.repository,InMemoryConversionJobRepository,0,142,0,18,0,31,0,15,0,6
Clearfolio Viewer,com.clearfolio.viewer.repository,ConversionJobRepository.FindOrStoreResult,0,9,0,0,0,1,0,1,0,1
Clearfolio Viewer,com.clearfolio.viewer,ClearfolioViewerApplication,0,8,0,0,0,3,0,2,0,2
Clearfolio Viewer,com.clearfolio.viewer.exception,UnsupportedDocumentFormatException,0,24,0,4,0,8,0,5,0,3
Clearfolio Viewer,com.clearfolio.viewer.controller,ConversionController,0,158,0,12,0,32,0,15,0,9
Clearfolio Viewer,com.clearfolio.viewer.controller,ApiExceptionHandler,0,345,0,34,0,112,0,33,0,16
Clearfolio Viewer,com.clearfolio.viewer.controller,HealthController,0,7,0,0,0,2,0,2,0,2
Clearfolio Viewer,com.clearfolio.viewer.controller,InMemoryMultipartFile,0,70,0,4,0,15,0,11,0,9
